variabel,p_def,default
0,0.018994552383996825,0
6,0.056036391877384364,0
2,0.007978383573951474,0
3,0.00864628480503472,0
1,0.004189453774127455,0
0,0.013654916624885848,0
1,0.015991003104085886,0
0,0.0928731590895893,0
0,0.029245905427230424,0
0,0.027162371230876114,0
9,0.02046487093069879,0
0,0.0008389955556287669,0
0,0.002508036816090871,0
0,0.06121947682993155,0
1,0.00037131327861262653,0
5,0.04781433467324273,0
13,0.048156655635184155,0
0,0.024235241834786498,0
0,0.007707195762562769,0
0,0.054616581785363306,0
2,0.0490352463548399,0
2,0.02885202178796437,0
3,0.009885462687632084,0
3,0.01465766867396121,0
8,0.005220848288654561,0
0,0.015653621514954526,0
0,0.0062764420529913545,0
6,0.04910074378615325,1
12,0.050884517311622184,1
10,0.03647759919678661,0
0,0.034127534679178416,0
0,0.0018226014447215236,0
0,5.532060965482889e-06,0
6,0.03725796181528956,0
9,0.01358202516052169,0
1,0.024261579141996968,0
8,0.01813250441353585,0
0,0.023513910995944652,0
7,0.002148506718496808,0
0,0.026859267211385648,0
0,0.012796074856720931,0
12,0.032799546983632445,0
1,0.010980738086563748,0
0,0.01946628312948907,0
0,0.010779671542013454,0
0,0.01954257083897174,0
0,0.03371754422088228,0
0,0.024269642560393642,0
0,0.0077849874184144135,0
3,0.01848908910628796,0
13,0.051747958512239414,0
0,0.008543291400315697,0
0,0.01386844858557429,0
4,0.06264204953300821,1
2,0.007816204648979554,0
2,0.002529237348965366,0
0,0.0036617561430541115,0
0,0.008107224503702787,0
0,0.0003766075686978073,0
12,0.03222692005160601,0
0,0.0039489517226364975,0
11,0.09616150063259571,1
0,0.02185638629741311,0
0,0.001779092446474598,0
0,0.036822718824935485,0
7,0.015528203896463057,0
7,0.020173375755238043,0
0,0.002062736473882764,0
0,0.02973929436996458,0
6,0.014041507399848857,0
7,0.00739984723389893,0
9,0.00679329292068285,0
2,0.01792934788927727,0
0,0.01709196154075563,0
4,0.019418982404487323,0
3,0.002685013375198769,0
10,0.058349656536337856,0
9,0.04065766239844019,0
8,0.04722802281815419,0
0,0.00550215652778451,0
1,0.047236644522916905,0
10,0.025325426749473277,0
2,0.006395544487740084,0
0,0.028528882806440246,0
0,0.024519834243358525,0
0,0.0032565127861953103,0
0,0.0049364591164481955,0
0,0.013696223041537857,0
0,0.0431996363964499,0
11,0.04538521085565875,1
7,0.009404890124358757,0
0,0.0012646913872407636,0
0,0.008342539910065281,0
2,0.01809990900811642,0
0,0.0027817066836458636,0
1,0.017590120475882605,0
0,0.032830835884072936,0
0,0.030453468343845793,0
8,0.032794111123581715,0
5,0.006734650006981466,0
1,0.020056401900551843,0
0,0.007802131005674084,0
6,0.02213083476998723,0
0,0.0031112009145969695,0
0,0.0012447673921507055,0
7,0.0009911871438328076,0
4,0.029171102233513026,0
3,0.007433332193492952,0
9,0.02278838059572396,1
4,0.028626657516162415,0
0,0.02739967031177075,0
0,0.002084129921088097,0
0,0.016328706079626533,0
6,0.01775124788236167,0
0,0.040830058662648765,0
0,0.028037453467503838,0
7,0.0010455866783032764,0
2,0.015358540298252286,0
3,0.002227732522198486,0
4,0.02102325837258643,0
9,0.0050129269189739655,0
0,0.0036894873302951944,0
5,0.004075741889979138,0
0,0.02789975594805245,0
0,0.007026670627423499,0
0,0.022016509397026457,0
5,0.04177223393179499,0
6,0.04763021932309177,0
16,0.08137465426518285,0
0,0.018529802991575094,0
0,0.012528783366222705,0
4,0.0011242927778079377,0
0,0.010454964371360573,0
2,0.022993300140998638,0
0,0.0011102610056417707,0
6,0.04193449916476367,0
0,0.008193153312884036,0
0,0.0022115804167495328,0
0,0.008622853543174037,0
11,0.02689359317392428,0
6,0.011097393861717288,0
0,0.01481887293661917,0
0,0.024382173059211365,0
0,0.0021006651322989503,0
10,0.013803960030644909,0
2,0.027086040410962568,0
9,0.010797717924151198,0
6,0.007952818082585526,0
0,0.04735718958535007,0
1,0.05310353005658851,0
8,0.028816323641703688,0
8,0.04713513068755417,0
2,0.0163034213768419,0
0,0.023523645525176433,0
0,0.05066317842604137,0
7,0.05701219813396173,0
0,0.006298006429232806,0
9,0.005041467877029915,0
0,0.018469985839938544,0
11,0.02423449494291917,0
10,0.011792556542105462,0
0,0.013043807175614293,0
8,0.004099579388740141,0
0,0.00036960676730039745,0
4,0.0066235916366277825,0
1,0.017393326934598684,0
12,0.03126824491382739,0
0,0.0158229008433436,0
0,0.02736393924113522,0
6,0.0017297593578654896,0
7,0.012676029864419163,0
0,0.017012615547384563,0
9,0.03897018242018991,0
8,0.01980144032503756,0
0,0.005794644935762915,0
9,0.014591280457735169,0
0,0.004526519312797681,0
4,0.019265334275236492,0
2,0.019301980532356128,0
0,0.0027220790854507733,0
9,0.00805099020770558,0
0,0.025665045586802493,0
0,0.008458446275333143,0
0,0.02801022915328721,0
7,0.012359851190862558,0
7,0.026470872430875394,0
0,0.0009027435057490107,0
5,0.023674352782515937,0
5,0.02066193033934611,0
5,0.00192706082996565,0
8,0.03662498124508944,0
2,0.00945848199909334,0
0,0.016789373040726526,0
4,0.03962372650329343,0
0,0.03903316388478356,0
0,0.030864264096214483,0
0,0.008985781348737256,0
1,0.02442546461981185,0
3,0.0393073011880508,0
8,0.04183092621500725,0
5,0.045805185046853686,0
10,0.02907739443316464,0
5,0.023849629467100026,0
0,0.027400611805517148,0
2,0.07376691198524352,0
7,0.020029901073357816,0
10,0.07848777060942567,0
9,0.009946121261588102,0
2,0.009921653159737759,0
1,0.004277196686137028,0
3,0.006342679972084356,0
0,0.007377770271861936,0
2,0.009539503734989001,0
0,0.004453144045221291,0
0,0.018823949865197635,0
0,0.021285715077759955,0
12,0.09374731751676722,0
0,0.00535963277632599,0
9,0.0028634097659850878,0
5,0.04263755007704144,0
0,0.04872321569312102,0
0,0.003173483610693366,0
14,0.05500465386409675,0
1,0.004769918909017073,0
