CR,LGL,LGC,LGD,cure,cr_var,LGD_REAL
0.15539827037260268,0.0,0.125,0.019424783796575334,0,0,0.10993556937847104
0.19697515167813479,0.0,0.125,0.024621893959766848,0,0,0.0
0.4609917114239896,0.6387094168456254,0.125,0.4018936335993408,1,12,0.0813332664989328
0.10762566637272383,0.8534968436251205,0.125,0.7750918853795409,0,4,0.6468769866393791
0.3589139244274734,0.5776383741459017,0.125,0.4151801589347251,0,0,0.272806551199625
0.17232039041999744,0.6552275716782898,0.125,0.5638585495152397,0,0,0.6694591191494695
0.11915233416269994,0.010939282014330892,0.125,0.024529882798596817,0,0,0.0
0.204760737700252,0.0,0.125,0.0255950922125315,0,12,0.0
0.3543918416109072,0.42446166353402437,0.125,0.31833489310233565,1,7,0.2709819297822105
0.17709457533614892,0.46373563996993983,0.125,0.4037473956582447,0,0,0.21731754778351617
0.3418175993756064,0.8306785498134411,0.125,0.5894652019853515,0,2,0.4489769082628915
0.5730161415575726,0.15431808831793098,0.125,0.13751835047214603,1,3,0.05275267096924141
0.18934324927269386,0.0,0.125,0.023667906159086732,1,4,0.10130554127364609
0.18280701268816033,0.0,0.125,0.02285087658602004,0,13,0.03058046256313582
0.2508727661179208,0.0,0.125,0.0313590957647401,0,4,0.19132016092838475
0.12073171532134407,0.0,0.125,0.015091464415168008,0,0,0.0
0.1936827540107915,0.0,0.125,0.024210344251348936,0,5,0.19529092322463792
0.06561617387238625,0.9007504262878797,0.125,0.8498486514349964,0,0,1.1896465839471981
0.4844301618217542,0.0,0.125,0.060553770227719274,1,14,0.0
0.08463086004852256,1.0530406308187805,0.125,0.9744997540726137,0,8,0.8754152124329331
0.4756336132465722,0.21889326198484724,0.125,0.17423447052748733,0,12,0.36851139472246813
0.5568403089480989,0.7138246586638236,0.125,0.3859433538172012,0,7,0.43569269973896985
0.09943042705781648,0.0,0.125,0.01242880338222706,0,10,0.0
0.2961399565640033,0.7697822198258574,0.125,0.5788364412533864,1,7,0.31360509641072254
0.2482029760951275,0.9308334018069565,0.125,0.7308231532416092,0,0,0.6685360430936962
0.13504014055848187,0.5067152804666835,0.125,0.45516839533914216,0,11,0.4450666331921122
0.06627436513727149,1.4446730073446146,0.125,1.3572125165940565,0,4,1.3737167663312175
0.6327866852337858,0.8013566538113105,0.125,0.3733671688102361,1,8,0.0
0.43283366802508216,0.10285165661629489,0.125,0.11243820532374303,0,2,0.28816219511780466
0.6497063694120597,0.0,0.125,0.08121329617650747,0,18,0.0
0.275276175122368,0.6227757889573541,0.125,0.48574997370465456,0,0,0.4275562224888811
0.38418620764862094,0.0,0.125,0.04802327595607762,0,1,0.0
0.17837067280222602,0.26630079436697124,0.125,0.24109687660824558,0,0,0.028566026219848772
0.45299556725423396,0.0,0.125,0.056624445906779244,0,6,0.1897390295199614
0.10990725752320751,0.3402337020290783,0.125,0.31657795611249506,0,6,0.18001016894651956
0.4404404974016217,0.0,0.125,0.055055062175202715,0,0,0.012058067594441703
0.3205366336811136,0.7125230107931533,0.125,0.5242003627033234,0,14,0.5740072705939805
0.29061121163159115,0.1613639570062666,0.125,0.15079618340095638,0,14,0.10714067456389205
